text,stars,BERT_pred,Bayes_pred,SVM_pred
"Service was incredible! Food was simple but not that impressive.The only thing that I considered to be absolutley exceptional was the Watermelon and Feta Salad! Also Ordered the Chicken breast and Wagyu Skirt steak was ok. I only think it was because everything was cold for some reason (30 minute wait for main course), but other then that it was just ok. Would have rather went to Jean George or Mastro's for the Price; and will also consider that when the option arouses.",2,3,3,3
"Food was OK, but this is a smoky local hole in the wall. Service is a little bit rough but it's a place filled with no character other than the smoke stains on the wall.",2,3,4,4
"The food was decent, however, the wait for delivery was over an hour AND they forgot one of the 2 mains that we ordered. We called, the owner apologized and said he'd send over the food and a refund in about 25 minutes, which sounded great. Over 45 minutes later, the food still wasn't at our house and when we called to ask, the owner said that the money and not the food was on the way over, and that we had never asked for another order, and was extremely rude. Never ordering from here again.",1,1,1,1
"I wanted to grab something quick while we waited to board our flight home to California and this was the only place that looked decent in our terminal. The seating area was packed with people and their luggage but I table opened up and we snagged it. I got in line to get our food and was handed a menu. There were a lot of options but it was mainly different combinations of the same thing. I ended up ordered a BLT, which took forever to make. and a breakfast burrito, which was the quickest. If Peets was closer to us (we were dead tired from Spring Training) then I would have just gone there and spent less money for better coffee and breakfast. 
 
 The BLT had a lot of avocado and bacon on it but it was not worth $9+ and the breakfast burrito, from what my boyfriend said, was okay. 
 
 I don't think I'd go back to this place unless it was the only option.",2,2,3,3
Worst service ever. Food is really good but waiters don't know what they are doing and it's impossible to order pick up. It becomes more of a hassle to eat there rather than just being able to enjoy it,1,2,2,1
"Great service-they were busy but I walked in and didn't have to wait. Nail tech paid meticulous care and attention to trimming my cuticles-which I believe to be the most important part of a manicure. Good prices, nothing fancy inside but decent selection of colors and brands.",5,5,5,5
" The FOOD was good, I ordered the Cajun chicken pasta. They have good music & lemonade. The staffs nice.
 
 - I found a hair on one of the noodles. GROSS. The wait is ridiculously long, like 30-40 or MORE! The waitress kept messing up our order & receipt. She takes forever to give you your check. ",2,2,2,2
"Nice server, but VERY slow! Didn't get our food until an hour after... Also make sure you check your bill, they upcharged a few dollars on each entrees.. Most likely will not return.",2,1,2,1
"Mac's had a 5 star review from me, but they changed the tried and true ""Huy Fong Foods"" brand sriracha hot sauce to ""Roland's"" brand sriracha hot sauce which is literally inedible. Very disappointing.",2,3,2,2
"Dinner has always been excellent so no complaints. But went for brunch a few weeks ago & definitely complainable. Very weird brunch items. There were 5 of us & none of us wanted anything on the menu. We all ended up getting the kids menu with regular eggs, hash browns & toast. Took 1.5 hours!!!!! to get our food. It was seriously unbelievable. Service was awful. Awful. Awful. I'll stick to dining for dinner only from now on.",3,5,2,1
"Well, it started off good but quickly went down hill!!! I bought a Groupon which clearly stated that if you purchased the groupon for $15 , then you would get $30 worth of food and drink. The Groupon said 50% off. Well, when the bill came, the waitress said, you have to spend $30 and then they would take $15 dollars off. I talked to the manager because, to me this was false advertisement!! Initially he agreed with the waitress, saying that the owners didn't mean to print that. I stood firm in my argument because I knew he was wrong. I've purchased other groupons and they do not require you to spend 30 bucks in order to get discounted what you paid upfront. This was bullshit and I politely let them know! The food was just average, and our waitress was rude after I told her that we still left her a20% tip despite the mix up!! I will not be going back!!!",1,1,1,1
"Was a big fan until yesterday. Hot sauce used to be the best, now just tasted like tomato sauce. Food was awful, they're only excuse was that they are training new chefs. Sadly, we will not go back.",1,1,2,2
"I finally stopped here with my Yelp bestie Heather S. before I left town going to the land down under... I have passed by this joint a kazillion times. I had not even realized the name change until we were walking up to enter! Wow they are super friendly, and I thought the lead cashier, maybe shift leader who helped us place our order was yummy! 
 
 I decided on the fried strips and mac and cheese, and Heather S. got the grilled chicken strips with mac and cheese.
 
 The food is fresh and good. Really how can you go wrong with breading chicken and frying it, they do seem to make it just that much more delicious. I love the fried strips, the panko breading was fried to a perfect golden brown, mmmmm yum yes..
 
 My only thing is that I think they should give up the sauce more. That is a pet peeve of mine when a joint charges for or limits ""extra"" sauce. I mean they are called strip n dip chicken right? I ordered the 6 piece chicken strip meal and ran out of sauce with there limit of 3 small dipping sauce sides.
 
 Anyhow, it was good, I just did not get the happy ending I had been hoping for...
 
 This goes in my overrated file.... :(",3,1,3,4
"I sincerely hope last night was just an off night as I have been here twice before and had great experiences. Last night was not one of them. Three problems -1. the white bean and kale soup was thin and under-seasoned - very weak\/watery. It was a rather bland broth with a handful of beans and some chopped kale. I realize it may have been a vegetable broth but something was seriously lacking. 2. The bruschetta bread was not grilled or toasted - it was just the bread brushed with oil. 3. not that big of a deal but usually they have two or three entree choices - but tonight they only had one. I love the location, vibe, and staff - and the owners have been very nice and gracious in the past - they were not around last night that I could see. I just hope it was an off night. We had out of town guests with us and were in a hurry so we didn't say anything at the time and didn't have time to re-order. I would expect that would have graciously fixed things or refunded a portion. Please stay on top of your kitchen guys! I want to keep coming.",2,2,2,2
"This place is good, but it's really not THAT good when it comes to the food.
 I would say the food here is 100% overpriced. Plus, they already makes tons of money on alcohol sales, so they really should lower their food prices. Appearances on tv dont make the food taste better. 
 They finally opened up a family dinning section but it is closed a lot, so expect to leave when you arrive if you brought kids.",2,5,2,3
"I have never been disappointed. Food is home cooked, all entres are well portioned, and service is very good. It does not matter if you go to Dominics Pizza, JoJos Sports bar, or Dominics Italian Rest. you will be happy you went there. A life long customer.",5,5,5,5
I really wanted to like this place. I ordered the macadamia nut latte. The cup was filled a little more than halfway. The server was very rude.,2,1,2,2
"Well, I wanted to like the place but let me say:service is great, staff is great, ambience is great, coffee is great. I just like to eat healthier and while they did sub egg whites and hold the hollandaise sauce and cheese, it was a little tasteless. They say, if you want Chinese food, go to a Chinese restaurant. If you want healthier fare, go to Good Egg\/First watch, or even JJ's or Einstein's where you can adjust the menu. Not many options here. BUT..I will say, for people who want a hearty breakfast, it's tops. Just not for me.",2,2,4,4
"It's not my favorite sushi spot but it's very convenient down the street. I typically get a poke bowl. They are not like the ones I have got before but it fills me up for sure. Not a fan of the ceviche. Really big chunks of every ingredient and is only served with four tiny crostini's, which is clearly not enough. Very fresh tasting but not my cure for ceviche. Rolls are ok. Quantity of spicy salmon was great. Probably the best tasting thing I have had thus far. I have been here, 5 or 6 times. Hope better for next. I experiment each time.",3,5,4,4
I usually love this place but this time they didn't remind me that my sandwich didn't come warm and when the guy came to serve it I asked him if he could just toast the bread and he walked off service is something to be desired,3,5,2,1
Staff is nice. But hidden fees are a joke. They don't tell you all the costs until you get there and are signing the paperwork. $1 first month is actually $60....I would have chosen another place for storage if I would have had more time to research.,3,1,1,1
"I love this extremely over priced store lol. They have so much unique things. I love shopping for friends here. The staff is usually pretty cool. Only complaint when in tell them I'm just looking, they keep coming back if I'm sure. I'm sure",3,5,3,4
