,review_id,user_id,business_id,stars,date,text,useful,funny,cool,contradictory,figurative,confusing,qualifier
479303,akaDLBO67jdpvGlkLlfubg,COllio9e_alx3f-qCV7ELg,7UFDAX4wLi6ux5otguYldA,2,2015-09-19,"Service was incredible! Food was simple but not that impressive.The only thing that I considered to be absolutley exceptional was the Watermelon and Feta Salad! Also Ordered the Chicken breast and Wagyu Skirt steak was ok. I only think it was because everything was cold for some reason (30 minute wait for main course), but other then that it was just ok. Would have rather went to Jean George or Mastro's for the Price; and will also consider that when the option arouses.",2,1,1,1,0,0,1
920853,-26jAeakSNH0XJajAHuT_g,Wu-yg4k0EgOeU2xuG6tcyw,vFTKENEf3AxbodEshK5W2A,2,2017-06-01,"Food was OK, but this is a smoky local hole in the wall.  Service is a little bit rough but it's a place filled with no character other than the smoke stains on the wall.",0,0,0,1,0,0,0
2369177,QGttFsUNCK7C8Bf4NzuXUQ,2BBdoPu5ACwvSaEe6Xm-Ew,i6N0e1zVhkQvof_acn85Og,1,2016-02-06,"The food was decent, however, the wait for delivery was over an hour AND they forgot one of the 2 mains that we ordered. We called, the owner apologized and said he'd send over the food and a refund in about 25 minutes, which sounded great. Over 45 minutes later, the food still wasn't at our house and when we called to ask, the owner said that the money and not the food was on the way over, and that we had never asked for another order, and was extremely rude. Never ordering from here again.",0,1,0,1,0,0,0
3450986,3gb5P4DXMLelCuYDxPIPJw,zJ5iNcvHPehUfBlqqb5O1w,DkIEhR8behaIoSexekWV0Q,2,2014-04-08,"I wanted to grab something quick while we waited to board our flight home to California and this was the only place that looked decent in our terminal. The seating area was packed with people and their luggage but I table opened up and we snagged it. I got in line to get our food and was handed a menu. There were a lot of options but it was mainly different combinations of the same thing. I ended up ordered a BLT, which took forever to make. and a breakfast burrito, which was the quickest. If Peets was closer to us (we were dead tired from Spring Training) then I would have just gone there and spent less money for better coffee and breakfast. 

The BLT had a lot of avocado and bacon on it but it was not worth $9+ and the breakfast burrito, from what my boyfriend said, was okay. 

I don't think I'd go back to this place unless it was the only option.",2,0,0,1,0,0,0
3929939,gJnzHdKmAFjUK4uSwm4mlw,wWZ6LhvkcCqiSQNtVmGFYw,GdPWJo3z4ySEXpF7Wkn3FA,1,2015-02-06,Worst service ever. Food is really good but waiters don't know what they are doing and it's impossible to order pick up. It becomes more of a hassle to eat there rather than just being able to enjoy it,0,0,0,1,0,0,1
2296764,xXf3C6P_hB-TmoXjo5fI3A,Fop1mcIIkGU45cCGYaBgZw,ksto8NA8KkgB1xIlEVWm8A,1,2015-09-01,"The most non - tasty baked potato I've ever had. There was no salt, no butter, no olive oil, no nothing. I had the mushroom with sour cream filling and it had as little sour cream in it as you can imagine. No good.",0,0,0,0,0,1,0
2438924,7fiNO68wMX96SHbpieBPEg,U0RxvXzD46sUoaDsfqjzJw,KPn03qwAeRo0E_42gHcdew,5,2016-07-21,"Great service-they were busy but I walked in and didn't have to wait. Nail tech paid meticulous care and attention to trimming my cuticles-which I believe to be the most important part of a manicure. Good prices, nothing fancy inside but decent selection of colors and brands.",0,0,0,1,0,0,0
3051450,W-5SrXhbZgMET1IU2Ojiiw,z_vggzRdGe_kY_Eeb4wNbw,nJcyfIRGbI31EGLzillWYg,2,2014-05-27,"+ The FOOD was good, I ordered the Cajun chicken pasta. They have good music & lemonade. The staffs nice.

- I found a hair on one of the noodles. GROSS. The wait is ridiculously long, like 30-40 or MORE! The waitress kept messing up our order & receipt. She takes forever to give you your check.",0,0,0,1,0,0,0
1972593,zB95XgOAN0ie19THVCSziA,KJeF5_i4RcmounsiIFPAFw,WWOCqk1Vh605xP-lcb9lhA,2,2016-01-09,"Nice server, but VERY slow! Didn't get our food until an hour after... Also make sure you check your bill, they upcharged a few dollars on each entrees.. Most likely will not return.",0,0,0,1,0,0,0
1712183,pYupewsC-sIQ57JRWaM1Cw,61kIDD3idS2jcniZFR2grQ,uivpqxLmLXhuargU1f6uGQ,2,2015-09-02,"Mac's had a 5 star review from me, but they changed the tried and true ""Huy Fong Foods"" brand sriracha hot sauce to ""Roland's"" brand sriracha hot sauce which is literally inedible. Very disappointing.",0,0,0,1,0,0,0
