text,stars,BERT_pred,Bayes_pred,SVM_pred
"I sincerely hope last night was just an off night as I have been here twice before and had great experiences. Last night was not one of them. Three problems -1. the white bean and kale soup was thin and under-seasoned - very weak\/watery. It was a rather bland broth with a handful of beans and some chopped kale. I realize it may have been a vegetable broth but something was seriously lacking. 2. The bruschetta bread was not grilled or toasted - it was just the bread brushed with oil. 3. not that big of a deal but usually they have two or three entree choices - but tonight they only had one. I love the location, vibe, and staff - and the owners have been very nice and gracious in the past - they were not around last night that I could see. I just hope it was an off night. We had out of town guests with us and were in a hurry so we didn't say anything at the time and didn't have time to re-order. I would expect that would have graciously fixed things or refunded a portion. Please stay on top of your kitchen guys! I want to keep coming.",2,2,2,2
"Just ate here for lunch today. I went with the Taco Salad with chicken. It was pretty huuuuge. I only ate half and I am ready to ktfo! I have 2 hours more of work.. let's hope I get through it without comatosing. 
  
  The taco shell is a chipotle shell.. wondering if it is homemade.. probably. My favorite part is the black beans & rice. I was thinking it'd be full of beans, but has a nice balance between the rice and beans. It also had grilled chicken and topped with iceberg lettuce, cheese and avocados. On the side were two containers of mild if anything, salsa. I do agree with Honey T. that $12.95 for a salad is just plain outrageous!! 
  
  I really wish they had their dinner menu at this time because that has soft tacos, teriyaki, curry, etc. 
  
  I did place a phone order, knowing it'd be busy. They told me it would be ready in about 25 mins. I thought that was a little long.. good thing I had called. It was pretty busy in this small little cafe. It is very modern looking. Most of the tables were full. They had my phone order all ready to go when I arrived there about 10 mins early.
  
  I had been here a couple years ago when they had first opened and I noticed their food really has improved since I last ate there. When I first went there, I got some sort of rice salad.. I didn't even see it on the menu. I can't really describe it being such a long time ago.. but I do remember it not being very good and me wishing I had ordered something else. My boyfriend got a panini and said it was okay. 
  
  They have also expanded from the last time I've been there and have a little bakery section and more tables. Very cool.. I think it took over a part of 8ono8 musubis. (man i miss that place!) 
  
  I have not tried any of their desserts except for their vegan cookies which are... ughhh.. like drugs!! They are soooo tasty and full of flavor and not to mention addicting. I can eat a whole pack by myself and they are less than 100 calories for 4. Not that I really count calories.. but just the fact that it is.. is pretty awesome in itself. I swear, better than non-vegan, hydrogenated oils, refined flour\/sugar crap like chips ahoy. They melt in your mouth and are sweet but not too sweet. 
  
  Will definitely be back again.. but probably will try their pastas and\/or give their panini's a shot again.",4,3,3,4
"Not sure what all the hype on this place is about... The ambiance is decent, I'll give them that. But the food was not good at all. Maybe we just got the wrong things? When I asked for recommendations from our server she gave us short, uneducated answers and had a bit of an attitude. Chicken fingers were about the same quality as the frozen ones at the grocery store.. I asked for ranch to hide the taste a bit and waited ten minutes for someone (not even our server) to bring it. Only to find out later that we were charged for it! We also got a French dip with au jus. Both the sandwich and dip were WAAAYYY to salty to eat. Disgusting. 
  
  Atmosphere: 4\/5. Decent patio, new building. 
  
  Service: 1\/5. Server did the bare minimum. Also should have warned us that they charge for ranch\/extra sauce.. I've always been warned by servers at places that do that. 
  
  Food: 1\/5. Chicken strips were edible but barely, French dip was beyond disgusting. 
  
  I might go again to try the burgers that everyone loves so much and give the place another shot, given that it's so close to my place, but my first experience was not good at all.",2,2,2,2
"During my first visit I probably would have given two or three stars. Nothing terrible happened but the service was pretty lackluster and the Mac and Cheese ""dinner"" was literally a giant bowl of decent (albeit standard) macaroni with creamy cheddar sauce.
  
  Having been back several times since that initial visit I have found that the service during my initial visit must have been an exception and that I simply need to order other items. I do love mac and cheese, but here it is better ordered as a side. I also appreciate that The Diner on Clifton is open late and serves part of their breakfast menu all day -- which is a big plus for a breakfast for lunch or dinner guy like me. I am also a fan of their shakes and will certainly continue visiting, especially if I have a need for a late night snack in the area.",4,5,3,3
"I have given this place way to many chances to impress me and every time I come out of there more and more disappointed. 
  We came here in early September before the concert and wanted to grab a snack. The dining area was not even packed. They did seat us down immediately and then crickets!! No one came up to greet us or even fill our glasses with water. We sat there very patient for over 20 minutes and nothing. How could you miss a party of 6? After trying to track down who our server was we left extremely upset on their customer service. I will not be returning back to this place. I have given it many chances and hoped it might make a positive turn. Sorry Hard Rock...You do not rock my world.",1,1,1,1
"Definitely not cheap. Food's good quality though.
  
  Had:
  Squid tentacles - Ordered because Yelp said they were good. They were pretty good, but the larger pieces were a little bit chewy. Good flavor though.
  Curry cuttlefish - Cuttlefish were really tender. Curry flavor was good. Awkward how they put fries into the bottom though. Steamed cuttlefish = steamed fries. Defeats the purpose of fries. Also filler. Less cuttlefish if you put fries at the bottom of the dish.
  Spareribs with black bean sauce - Definitely better quality ribs than I'm used to at dim sum. Other than that, pretty similar. Taro chunks at the bottom. Also filler.
  Fois gras and mango deep fried rolls - Think standard shrimp salad rolls at dim sum, but with small bits of fois gras and strips of mango inside, and the salad dressing on of the roll. Five pieces? Something like that. Not enough fois gras. Salad dressing overwhelmed the entire thing. That being said, it was tasty. Not worth the price though.
  Snow pea shoot and fried tofu steamed rice noodle - for all you vegetarians out there, this one's delicious. It's an interesting combination, and the mouth feel is quite nice. Snow peas are fresh.
  Snow pea shoot steamed dumpling - Supposedly had scallop in it. I couldn't find any. That being said, the snow pea shoot filling was almost (or actually) entirely just that. It was really tasty.
  Lion head beef meatballs - Or just big beef meatballs. A tad more black pepper in these than I was expecting, but it was quite welcome. Meat was tender. Very much so. Not much beef flavor though.
  Deep fried taro shred with minced pork filling - Usually yum. This one was also yum. Taro shred was nice and loose (not dense and packed in. More like deep fried floss?) and the inside was moist. Good ratio of external taro and internal filling.
  Garoupa and bitter melon pan fried rice noodles? - I think that was the name of the fish...Fish was delicious. Bitter melon was a good kind of bitter. Pan fried rice noodles were done well. Good base. Sauce made it so it wasn't dry. Good portion for six people.
  Durian pastry - An odd green color. That being said, the inside is quite strong on the durian, and entirely delicious. Custard-like. The outside was flaky pastry and oh so delicious as well. Three pieces. A great way to end my meal.
  
  If the prices were better and the service was better, I'd make this one of my go-to dim sum places. Well, that and if it was closer to home...",3,3,3,4
"I was very skeptical of this place because I am normally not a fan of strip center Mexican food places. This location isn't the newest and nicest but it is definitely a solid joint and far exceeded my expectations. 
  
  Our server\/waiter was fast, friendly and courteous. The chips and salsas brought to the table when you sit down were fresh and excellent. I especially loved loved loved the red one. I bought a pint to take home to put on EVERYTHING. There is just enough spice and great flavor. There is some secret ingredient but I can't place it. We also ordered the melted cheese thing for an appetizer and it was awesome cheesy goodness. Next time we are going to order it with green chilies. 
  
  My wife and I split the ""Fajitas for 2"" with 1\/2 chicken and 1\/2 steak. I thought it was excellent. The meat was tender and juicy and there were plenty of sauteed onions and peppers throughout. There was also more than enough for 2 people. The flour tortillas were also fresh and delicious. Their guacamole was less than stellar however.
  
  This is probably one of my favorite local Mexican places and I can't wait to go back.",4,5,4,5
"Loved the place. Froze my ass off dining outside as the indoor seating is limited. Although the Carne Asada street tacos were great, too much onion was a little over bearing so I will leave them off next time. We will be going back in the future.",3,5,4,5
"TIME is what you need when you come here. But it's worth it. Some may say the service brings new meaning to Lazy Mexicans -- but they are really just taking the time to make everything fresh! From the guacamole to the margarita, it's all done right before your eyes and it's worth the wait. The Tacos are good, and reasonably priced too. Just make sure you're not in a rush.",4,5,5,5
"My wife and I ate here twice in last 10 days. 
  
  After 2 recent strikeouts in local Restuarants we've frequented for years, this was a great find. Don't know what took us so long. 
  
  Great selection of Italian food, incredible taste, served hot and timely, great proportions. Also great service and vino selection. 
  
  Met the owner Tues night. Day before their cooler had gone out and they lost all their food yet she and staffed worked all day to get ready to serve their guests any way. Many other places would have shut down for the night. 
  
  Somewhat limited hours but maybe that's why quality so high.",5,2,5,5
