text,stars,BERT_pred,Bayes_pred,SVM_pred
"Service was incredible! Food was simple but not that impressive.The only thing that I considered to be absolutley exceptional was the Watermelon and Feta Salad! Also Ordered the Chicken breast and Wagyu Skirt steak was ok. I only think it was because everything was cold for some reason (30 minute wait for main course), but other then that it was just ok. Would have rather went to Jean George or Mastro's for the Price; and will also consider that when the option arouses.",2,3,3,3
Worst service ever. Food is really good but waiters don't know what they are doing and it's impossible to order pick up. It becomes more of a hassle to eat there rather than just being able to enjoy it,1,2,2,1
"I have never been disappointed. Food is home cooked, all entres are well portioned, and service is very good. It does not matter if you go to Dominics Pizza, JoJos Sports bar, or Dominics Italian Rest. you will be happy you went there. A life long customer.",5,5,5,5
"It's not my favorite sushi spot but it's very convenient down the street. I typically get a poke bowl. They are not like the ones I have got before but it fills me up for sure. Not a fan of the ceviche. Really big chunks of every ingredient and is only served with four tiny crostini's, which is clearly not enough. Very fresh tasting but not my cure for ceviche. Rolls are ok. Quantity of spicy salmon was great. Probably the best tasting thing I have had thus far. I have been here, 5 or 6 times. Hope better for next. I experiment each time.",3,5,4,4
"Yet again my first time visiting another lunchtime chain store; and I was not impressed really. The food was only ""OK"" and a bit bland. Plenty sauces to choose from if you know what you're doing; but it would need a lot to cover the tasteless food. I had the ""'lil bowl"" and a drink and with a side of guacamole it came to $9.68?! Wow...not good value for $$ in any language! The staff are very friendly and service is fast (it was empty for the most part at 11:45) Their credit card reader was also down so it was harder on them than usual They could give you a little more taco meat on the meal also. Don't think I'll be going back....",2,2,3,2
"not my favorite or even go to place 
  the food was nothing special 
  a bit over priced
  great location tho 
  the music physically was louder in the bathroom then in the resturant...not sure whats up with that",2,3,3,3
"So so. Definitely did not live up to the hype. Small portions and bland at best. I Wil say the rock shrimp app was fantastic though. The place is very tight and VERY loud. Service was average, definitely not anything exceptional. Place is very over priced for the portions and flavors.",2,3,3,2
"Not sure what all the hype on this place is about... The ambiance is decent, I'll give them that. But the food was not good at all. Maybe we just got the wrong things? When I asked for recommendations from our server she gave us short, uneducated answers and had a bit of an attitude. Chicken fingers were about the same quality as the frozen ones at the grocery store.. I asked for ranch to hide the taste a bit and waited ten minutes for someone (not even our server) to bring it. Only to find out later that we were charged for it! We also got a French dip with au jus. Both the sandwich and dip were WAAAYYY to salty to eat. Disgusting. 
  
  Atmosphere: 4\/5. Decent patio, new building. 
  
  Service: 1\/5. Server did the bare minimum. Also should have warned us that they charge for ranch\/extra sauce.. I've always been warned by servers at places that do that. 
  
  Food: 1\/5. Chicken strips were edible but barely, French dip was beyond disgusting. 
  
  I might go again to try the burgers that everyone loves so much and give the place another shot, given that it's so close to my place, but my first experience was not good at all.",2,2,2,2
"We have been here several times for Sunday Supper, but went last Friday night with another couple. The food was good, not great, but good. I think it is overpriced. it was so loud we had to scream at each other. The worst was when we got home my husband mentioned how much it was and I have to assume we got charged for wine that we didn't have as the bill was about $60. more than it should have been. I'm going to give them the benefit of the doubt and assume it was an error, but will not go back for anything other than Sunday Supper and will carefully check the bill.",3,5,2,2
"Cute space and decor - this place has potential. 
  
  The only reason I am giving this place a low rating because the food was not very good. I ordered the Shrimp Po-Boy, it came out cold and the complete opposite of what a Shrimp Po-Boy should taste like. The shrimp was small and cold, the sandwich basically tasted like a salad in a stiff baguette. I was so disappointed, I wanted to cry because I was looking forward to fried shrimp in a warm baguette. For $11 I would expected something amazing.
  
  Definitely not coming here again :(",2,2,2,2
